epoch;loss;mae;val_loss;val_mae
0;506.15460205078125;506.15460205078125;496.43109130859375;496.43109130859375
1;493.9014587402344;493.9014587402344;485.535400390625;485.535400390625
2;491.0835266113281;491.0835266113281;483.3462829589844;483.3462829589844
3;489.12646484375;489.12646484375;481.8949890136719;481.8949890136719
4;488.41583251953125;488.41583251953125;480.85198974609375;480.85198974609375
5;487.7821960449219;487.7821960449219;480.4446105957031;480.4446105957031
6;485.36700439453125;485.36700439453125;477.1235046386719;477.1235046386719
7;484.6721496582031;484.6721496582031;475.57470703125;475.57470703125
8;483.3216247558594;483.3216247558594;474.2628173828125;474.2628173828125
9;482.4195861816406;482.4195861816406;475.0316162109375;475.0316162109375
10;482.1885986328125;482.1885986328125;473.2963562011719;473.2963562011719
11;480.4397888183594;480.4397888183594;472.5390930175781;472.5390930175781
12;481.302490234375;481.302490234375;473.1807861328125;473.1807861328125
13;479.90264892578125;479.90264892578125;472.9496765136719;472.9496765136719
14;479.9642639160156;479.9642639160156;471.87725830078125;471.87725830078125
15;479.2615966796875;479.2615966796875;471.2662048339844;471.2662048339844
16;479.2665100097656;479.2665100097656;470.588623046875;470.588623046875
17;478.31549072265625;478.31549072265625;470.09283447265625;470.09283447265625
18;478.6831359863281;478.6831359863281;470.69085693359375;470.69085693359375
19;477.88214111328125;477.88214111328125;470.57891845703125;470.57891845703125
20;476.8559875488281;476.8559875488281;469.2379455566406;469.2379455566406
21;478.0879821777344;478.0879821777344;470.5384521484375;470.5384521484375
22;476.94256591796875;476.94256591796875;468.5873718261719;468.5873718261719
23;477.5401916503906;477.5401916503906;470.0937194824219;470.0937194824219
24;476.4768371582031;476.4768371582031;467.4251708984375;467.4251708984375
25;475.0771179199219;475.0771179199219;468.25;468.25
26;476.0318298339844;476.0318298339844;466.204833984375;466.204833984375
27;475.9325256347656;475.9325256347656;467.5575866699219;467.5575866699219
28;475.87164306640625;475.87164306640625;465.7408142089844;465.7408142089844
29;474.73760986328125;474.73760986328125;466.40362548828125;466.40362548828125
30;476.3650207519531;476.3650207519531;465.57501220703125;465.57501220703125
31;474.8872375488281;474.8872375488281;465.932373046875;465.932373046875
32;473.6867370605469;473.6867370605469;465.9914245605469;465.9914245605469
33;475.62908935546875;475.62908935546875;466.91119384765625;466.91119384765625
34;474.01995849609375;474.01995849609375;465.02740478515625;465.02740478515625
35;473.73419189453125;473.73419189453125;466.2493896484375;466.2493896484375
36;473.9313049316406;473.9313049316406;465.78326416015625;465.78326416015625
37;473.0259704589844;473.0259704589844;465.87335205078125;465.87335205078125
38;472.7737731933594;472.7737731933594;464.0391845703125;464.0391845703125
39;472.7134704589844;472.7134704589844;464.69677734375;464.69677734375
40;471.8396301269531;471.8396301269531;465.1747131347656;465.1747131347656
41;472.32403564453125;472.32403564453125;465.7811584472656;465.7811584472656
42;472.9057312011719;472.9057312011719;464.9969787597656;464.9969787597656
43;473.8866271972656;473.8866271972656;465.0484619140625;465.0484619140625
44;474.6380615234375;474.6380615234375;464.9822692871094;464.9822692871094
45;474.5380859375;474.5380859375;465.4878845214844;465.4878845214844
46;471.08563232421875;471.08563232421875;467.0598449707031;467.0598449707031
47;473.9173583984375;473.9173583984375;465.3158874511719;465.3158874511719
48;472.60137939453125;472.60137939453125;466.2760314941406;466.2760314941406
49;473.52447509765625;473.52447509765625;466.0765686035156;466.0765686035156
50;473.36370849609375;473.36370849609375;465.6594543457031;465.6594543457031
51;473.3830261230469;473.3830261230469;465.555419921875;465.555419921875
52;470.4637451171875;470.4637451171875;464.41253662109375;464.41253662109375
53;473.29736328125;473.29736328125;465.23175048828125;465.23175048828125
54;472.31353759765625;472.31353759765625;464.6391296386719;464.6391296386719
55;471.7250061035156;471.7250061035156;464.97796630859375;464.97796630859375
