epoch;loss;mae;val_loss;val_mae
0;496.5328369140625;496.5328369140625;473.6008605957031;473.6008605957031
1;486.0243835449219;486.0243835449219;462.7420959472656;462.7420959472656
2;481.29071044921875;481.29071044921875;460.62432861328125;460.62432861328125
3;479.6431579589844;479.6431579589844;459.1656799316406;459.1656799316406
4;478.9394226074219;478.9394226074219;458.5659484863281;458.5659484863281
5;476.9500427246094;476.9500427246094;457.669677734375;457.669677734375
6;475.49072265625;475.49072265625;457.316650390625;457.316650390625
7;475.58111572265625;475.58111572265625;456.5996398925781;456.5996398925781
8;472.7018737792969;472.7018737792969;456.0982971191406;456.0982971191406
9;472.4678955078125;472.4678955078125;456.10418701171875;456.10418701171875
10;471.97784423828125;471.97784423828125;455.70703125;455.70703125
11;470.5968322753906;470.5968322753906;455.35784912109375;455.35784912109375
12;470.02471923828125;470.02471923828125;455.4462585449219;455.4462585449219
13;470.72662353515625;470.72662353515625;455.10382080078125;455.10382080078125
14;469.0606689453125;469.0606689453125;454.93670654296875;454.93670654296875
15;468.4941101074219;468.4941101074219;454.7602233886719;454.7602233886719
16;468.9223327636719;468.9223327636719;454.7610168457031;454.7610168457031
17;468.93280029296875;468.93280029296875;455.0644836425781;455.0644836425781
18;468.54974365234375;468.54974365234375;455.3663024902344;455.3663024902344
19;467.9822082519531;467.9822082519531;454.9995422363281;454.9995422363281
20;466.95684814453125;466.95684814453125;455.4795227050781;455.4795227050781
21;467.71405029296875;467.71405029296875;455.347900390625;455.347900390625
22;466.56854248046875;466.56854248046875;454.6343078613281;454.6343078613281
23;467.07904052734375;467.07904052734375;455.6304016113281;455.6304016113281
24;466.2239074707031;466.2239074707031;454.6124267578125;454.6124267578125
25;466.8903503417969;466.8903503417969;455.0150146484375;455.0150146484375
26;465.36968994140625;465.36968994140625;454.75653076171875;454.75653076171875
27;466.5997314453125;466.5997314453125;454.81951904296875;454.81951904296875
28;465.6739807128906;465.6739807128906;454.5122985839844;454.5122985839844
29;466.6634216308594;466.6634216308594;454.14129638671875;454.14129638671875
30;467.06658935546875;467.06658935546875;454.2301940917969;454.2301940917969
31;466.0702819824219;466.0702819824219;454.25390625;454.25390625
32;465.74468994140625;465.74468994140625;454.3267517089844;454.3267517089844
33;464.98095703125;464.98095703125;453.92938232421875;453.92938232421875
34;464.6819763183594;464.6819763183594;453.4687805175781;453.4687805175781
35;466.1723327636719;466.1723327636719;453.99871826171875;453.99871826171875
36;464.42181396484375;464.42181396484375;453.11279296875;453.11279296875
37;464.99554443359375;464.99554443359375;453.4688415527344;453.4688415527344
38;464.15625;464.15625;452.8643798828125;452.8643798828125
39;463.82275390625;463.82275390625;453.1014709472656;453.1014709472656
40;464.4453125;464.4453125;452.9221496582031;452.9221496582031
41;466.3594055175781;466.3594055175781;452.71075439453125;452.71075439453125
42;463.1086730957031;463.1086730957031;452.55780029296875;452.55780029296875
43;463.38165283203125;463.38165283203125;452.5594177246094;452.5594177246094
44;463.8506164550781;463.8506164550781;451.7645568847656;451.7645568847656
45;462.90802001953125;462.90802001953125;452.10162353515625;452.10162353515625
46;462.5612487792969;462.5612487792969;452.7373962402344;452.7373962402344
47;463.39129638671875;463.39129638671875;451.88653564453125;451.88653564453125
48;462.6735534667969;462.6735534667969;452.3707580566406;452.3707580566406
49;462.399169921875;462.399169921875;452.2935485839844;452.2935485839844
50;461.96759033203125;461.96759033203125;452.37518310546875;452.37518310546875
51;463.0746765136719;463.0746765136719;452.1470031738281;452.1470031738281
52;462.21038818359375;462.21038818359375;451.49658203125;451.49658203125
53;462.20538330078125;462.20538330078125;451.4464111328125;451.4464111328125
54;462.5815734863281;462.5815734863281;451.8119201660156;451.8119201660156
55;461.76983642578125;461.76983642578125;451.6217346191406;451.6217346191406
56;462.25787353515625;462.25787353515625;451.4085693359375;451.4085693359375
57;462.6600341796875;462.6600341796875;451.34100341796875;451.34100341796875
58;462.7109680175781;462.7109680175781;451.49176025390625;451.49176025390625
59;462.4927673339844;462.4927673339844;450.9439697265625;450.9439697265625
60;462.34173583984375;462.34173583984375;451.08355712890625;451.08355712890625
61;460.91229248046875;460.91229248046875;451.3019104003906;451.3019104003906
62;461.1403503417969;461.1403503417969;451.680419921875;451.680419921875
63;460.7967529296875;460.7967529296875;451.0554504394531;451.0554504394531
64;461.65692138671875;461.65692138671875;450.7300109863281;450.7300109863281
65;460.6818542480469;460.6818542480469;450.84967041015625;450.84967041015625
66;461.05242919921875;461.05242919921875;450.75677490234375;450.75677490234375
67;461.4519958496094;461.4519958496094;450.7002258300781;450.7002258300781
68;461.1724853515625;461.1724853515625;451.0908508300781;451.0908508300781
69;461.91265869140625;461.91265869140625;450.6884765625;450.6884765625
70;461.73223876953125;461.73223876953125;450.5850830078125;450.5850830078125
71;459.5130310058594;459.5130310058594;450.5638732910156;450.5638732910156
72;461.1380920410156;461.1380920410156;451.1211242675781;451.1211242675781
73;460.9276123046875;460.9276123046875;450.580322265625;450.580322265625
74;461.3135681152344;461.3135681152344;450.552001953125;450.552001953125
75;460.2543029785156;460.2543029785156;450.5215759277344;450.5215759277344
76;461.7301330566406;461.7301330566406;450.2141418457031;450.2141418457031
77;460.2490234375;460.2490234375;450.5856628417969;450.5856628417969
78;460.767333984375;460.767333984375;450.5804748535156;450.5804748535156
79;460.0830383300781;460.0830383300781;451.3621826171875;451.3621826171875
80;460.0688171386719;460.0688171386719;450.982177734375;450.982177734375
81;460.6683654785156;460.6683654785156;450.4024353027344;450.4024353027344
82;459.9275207519531;459.9275207519531;451.0449523925781;451.0449523925781
83;460.5007629394531;460.5007629394531;451.0993957519531;451.0993957519531
84;459.4982604980469;459.4982604980469;451.09210205078125;451.09210205078125
85;458.7291259765625;458.7291259765625;450.17364501953125;450.17364501953125
86;459.88323974609375;459.88323974609375;450.8829345703125;450.8829345703125
87;459.0694580078125;459.0694580078125;450.8207702636719;450.8207702636719
88;459.1517639160156;459.1517639160156;450.4321594238281;450.4321594238281
89;459.3661804199219;459.3661804199219;450.22613525390625;450.22613525390625
90;459.08935546875;459.08935546875;450.6925964355469;450.6925964355469
91;460.2464904785156;460.2464904785156;450.5660400390625;450.5660400390625
92;457.0124816894531;457.0124816894531;449.9781494140625;449.9781494140625
93;458.1729431152344;458.1729431152344;450.109619140625;450.109619140625
94;458.8883361816406;458.8883361816406;450.7747497558594;450.7747497558594
95;460.0257873535156;460.0257873535156;451.1244201660156;451.1244201660156
96;458.488525390625;458.488525390625;450.59197998046875;450.59197998046875
97;459.6158447265625;459.6158447265625;450.22479248046875;450.22479248046875
98;458.59747314453125;458.59747314453125;450.8446350097656;450.8446350097656
99;457.5905456542969;457.5905456542969;450.9237060546875;450.9237060546875
100;457.8577880859375;457.8577880859375;451.3147277832031;451.3147277832031
101;460.03277587890625;460.03277587890625;450.1077575683594;450.1077575683594
102;459.083251953125;459.083251953125;450.385986328125;450.385986328125
103;458.2922058105469;458.2922058105469;451.1861572265625;451.1861572265625
104;458.7516784667969;458.7516784667969;450.591552734375;450.591552734375
105;457.3144226074219;457.3144226074219;451.79144287109375;451.79144287109375
106;457.94134521484375;457.94134521484375;451.6744384765625;451.6744384765625
107;457.9466857910156;457.9466857910156;450.87066650390625;450.87066650390625
108;458.0900573730469;458.0900573730469;450.8262939453125;450.8262939453125
109;457.6878356933594;457.6878356933594;450.6107482910156;450.6107482910156
110;457.08026123046875;457.08026123046875;451.3507080078125;451.3507080078125
111;458.4123229980469;458.4123229980469;450.6916198730469;450.6916198730469
112;457.5299987792969;457.5299987792969;450.3367919921875;450.3367919921875
113;458.238525390625;458.238525390625;450.517822265625;450.517822265625
114;457.556640625;457.556640625;450.42791748046875;450.42791748046875
115;456.5860900878906;456.5860900878906;450.98333740234375;450.98333740234375
116;457.39202880859375;457.39202880859375;450.3592529296875;450.3592529296875
117;456.73089599609375;456.73089599609375;450.4682922363281;450.4682922363281
118;457.3545227050781;457.3545227050781;450.5366516113281;450.5366516113281
119;457.4966735839844;457.4966735839844;451.96453857421875;451.96453857421875
120;458.6685791015625;458.6685791015625;450.5340576171875;450.5340576171875
121;457.28509521484375;457.28509521484375;450.93023681640625;450.93023681640625
122;456.9945068359375;456.9945068359375;450.9840393066406;450.9840393066406
123;458.1401062011719;458.1401062011719;451.2239685058594;451.2239685058594
124;457.9657287597656;457.9657287597656;450.5185852050781;450.5185852050781
125;456.6767272949219;456.6767272949219;450.49334716796875;450.49334716796875
126;456.2213439941406;456.2213439941406;451.5135192871094;451.5135192871094
127;455.5044250488281;455.5044250488281;451.188232421875;451.188232421875
128;456.8255310058594;456.8255310058594;450.7105712890625;450.7105712890625
129;455.98382568359375;455.98382568359375;452.0243835449219;452.0243835449219
130;457.95391845703125;457.95391845703125;451.1070251464844;451.1070251464844
131;457.3161315917969;457.3161315917969;451.1210632324219;451.1210632324219
132;457.76190185546875;457.76190185546875;451.392822265625;451.392822265625
133;456.3831787109375;456.3831787109375;450.7629089355469;450.7629089355469
134;456.7341613769531;456.7341613769531;451.014892578125;451.014892578125
135;457.379150390625;457.379150390625;450.8397216796875;450.8397216796875
136;456.43408203125;456.43408203125;451.0562438964844;451.0562438964844
137;458.6818542480469;458.6818542480469;451.2905578613281;451.2905578613281
138;457.2828369140625;457.2828369140625;451.04486083984375;451.04486083984375
139;457.49395751953125;457.49395751953125;451.3429260253906;451.3429260253906
140;457.163330078125;457.163330078125;451.2546691894531;451.2546691894531
141;455.6579895019531;455.6579895019531;451.1590881347656;451.1590881347656
142;456.6525573730469;456.6525573730469;451.3731689453125;451.3731689453125
143;456.4603576660156;456.4603576660156;451.0118408203125;451.0118408203125
144;457.1298522949219;457.1298522949219;451.0359191894531;451.0359191894531
145;457.0809020996094;457.0809020996094;451.00244140625;451.00244140625
146;457.0508728027344;457.0508728027344;450.88323974609375;450.88323974609375
147;456.76318359375;456.76318359375;451.0493469238281;451.0493469238281
148;456.707275390625;456.707275390625;451.09814453125;451.09814453125
149;456.7759094238281;456.7759094238281;451.22613525390625;451.22613525390625
150;455.9309997558594;455.9309997558594;451.08770751953125;451.08770751953125
151;456.0648193359375;456.0648193359375;451.0752258300781;451.0752258300781
152;456.49530029296875;456.49530029296875;451.15875244140625;451.15875244140625
153;456.41510009765625;456.41510009765625;451.173095703125;451.173095703125
154;456.9981384277344;456.9981384277344;452.142822265625;452.142822265625
155;456.8385009765625;456.8385009765625;451.1563415527344;451.1563415527344
156;456.0528259277344;456.0528259277344;450.8159484863281;450.8159484863281
157;454.5899963378906;454.5899963378906;450.74114990234375;450.74114990234375
158;455.4190673828125;455.4190673828125;450.9965515136719;450.9965515136719
159;455.9762268066406;455.9762268066406;450.9123840332031;450.9123840332031
160;454.14764404296875;454.14764404296875;451.4241943359375;451.4241943359375
161;454.2348327636719;454.2348327636719;451.6769104003906;451.6769104003906
162;455.4217224121094;455.4217224121094;451.79156494140625;451.79156494140625
163;455.9478454589844;455.9478454589844;451.27850341796875;451.27850341796875
164;455.6663513183594;455.6663513183594;451.0059814453125;451.0059814453125
165;455.50482177734375;455.50482177734375;451.20257568359375;451.20257568359375
166;456.2745361328125;456.2745361328125;451.3096008300781;451.3096008300781
167;455.0714416503906;455.0714416503906;451.35247802734375;451.35247802734375
168;456.0436706542969;456.0436706542969;451.52935791015625;451.52935791015625
169;456.45550537109375;456.45550537109375;451.60345458984375;451.60345458984375
170;457.4453430175781;457.4453430175781;451.3306579589844;451.3306579589844
171;455.8235778808594;455.8235778808594;451.3675842285156;451.3675842285156
172;455.9872131347656;455.9872131347656;451.27801513671875;451.27801513671875
173;455.4212951660156;455.4212951660156;452.3178405761719;452.3178405761719
174;454.986572265625;454.986572265625;451.5633850097656;451.5633850097656
175;455.42095947265625;455.42095947265625;451.7553405761719;451.7553405761719
176;456.0191955566406;456.0191955566406;451.2907409667969;451.2907409667969
177;456.0615234375;456.0615234375;451.1287536621094;451.1287536621094
178;455.3770751953125;455.3770751953125;451.8892517089844;451.8892517089844
179;455.17742919921875;455.17742919921875;450.9996032714844;450.9996032714844
180;454.777099609375;454.777099609375;451.169677734375;451.169677734375
181;456.2607116699219;456.2607116699219;450.6072082519531;450.6072082519531
182;455.7027587890625;455.7027587890625;450.5976867675781;450.5976867675781
183;453.2341613769531;453.2341613769531;450.8672180175781;450.8672180175781
184;454.03387451171875;454.03387451171875;450.9608459472656;450.9608459472656
185;454.8087158203125;454.8087158203125;451.6316833496094;451.6316833496094
186;455.8734130859375;455.8734130859375;451.4100341796875;451.4100341796875
187;454.5107421875;454.5107421875;451.3780517578125;451.3780517578125
188;454.5028076171875;454.5028076171875;450.6625061035156;450.6625061035156
189;453.31121826171875;453.31121826171875;450.66253662109375;450.66253662109375
190;453.650634765625;453.650634765625;451.295654296875;451.295654296875
191;455.0398254394531;455.0398254394531;451.3904113769531;451.3904113769531
192;454.2446594238281;454.2446594238281;451.2994689941406;451.2994689941406
193;455.09564208984375;455.09564208984375;453.4466552734375;453.4466552734375
194;455.1231384277344;455.1231384277344;450.8398742675781;450.8398742675781
195;455.07684326171875;455.07684326171875;451.0864562988281;451.0864562988281
196;456.22418212890625;456.22418212890625;451.516845703125;451.516845703125
197;456.2514953613281;456.2514953613281;452.3022155761719;452.3022155761719
198;454.01605224609375;454.01605224609375;451.4703674316406;451.4703674316406
199;455.87353515625;455.87353515625;452.1340637207031;452.1340637207031
200;456.005615234375;456.005615234375;451.5015563964844;451.5015563964844
201;455.42388916015625;455.42388916015625;451.5753479003906;451.5753479003906
202;454.9111633300781;454.9111633300781;450.958251953125;450.958251953125
203;456.31536865234375;456.31536865234375;451.1116027832031;451.1116027832031
204;454.9531555175781;454.9531555175781;451.1037292480469;451.1037292480469
205;454.5899353027344;454.5899353027344;451.0346984863281;451.0346984863281
206;454.2651672363281;454.2651672363281;451.75042724609375;451.75042724609375
207;454.784912109375;454.784912109375;451.5827331542969;451.5827331542969
208;454.4316711425781;454.4316711425781;451.3752746582031;451.3752746582031
209;453.96466064453125;453.96466064453125;450.7135925292969;450.7135925292969
210;453.4990234375;453.4990234375;450.8328552246094;450.8328552246094
211;454.6016845703125;454.6016845703125;451.38861083984375;451.38861083984375
212;453.3194580078125;453.3194580078125;451.8223571777344;451.8223571777344
213;453.9682312011719;453.9682312011719;451.61761474609375;451.61761474609375
214;453.4078674316406;453.4078674316406;452.12567138671875;452.12567138671875
215;455.60699462890625;455.60699462890625;452.0924377441406;452.0924377441406
216;455.87786865234375;455.87786865234375;451.3979187011719;451.3979187011719
217;454.0442199707031;454.0442199707031;452.1174011230469;452.1174011230469
218;454.8734130859375;454.8734130859375;451.18682861328125;451.18682861328125
219;454.3296203613281;454.3296203613281;451.3458557128906;451.3458557128906
220;453.5173034667969;453.5173034667969;451.7989196777344;451.7989196777344
221;454.9517517089844;454.9517517089844;451.48858642578125;451.48858642578125
222;454.4861145019531;454.4861145019531;451.5274353027344;451.5274353027344
223;455.268798828125;455.268798828125;451.73907470703125;451.73907470703125
224;454.3858947753906;454.3858947753906;452.281005859375;452.281005859375
225;454.7088928222656;454.7088928222656;451.8377380371094;451.8377380371094
226;455.6448669433594;455.6448669433594;452.77581787109375;452.77581787109375
227;453.1180725097656;453.1180725097656;452.88629150390625;452.88629150390625
228;455.8634033203125;455.8634033203125;451.9786682128906;451.9786682128906
229;453.73541259765625;453.73541259765625;452.4039306640625;452.4039306640625
230;454.3995056152344;454.3995056152344;452.3291320800781;452.3291320800781
231;454.6079406738281;454.6079406738281;452.2519226074219;452.2519226074219
232;453.6647033691406;453.6647033691406;452.0218811035156;452.0218811035156
233;454.56048583984375;454.56048583984375;451.6778869628906;451.6778869628906
234;455.17669677734375;455.17669677734375;452.3708801269531;452.3708801269531
235;454.8170471191406;454.8170471191406;452.2611083984375;452.2611083984375
236;452.09765625;452.09765625;452.4144287109375;452.4144287109375
237;453.7135314941406;453.7135314941406;452.4617614746094;452.4617614746094
238;454.04052734375;454.04052734375;452.4213562011719;452.4213562011719
239;453.8050231933594;453.8050231933594;451.6923828125;451.6923828125
240;453.5832214355469;453.5832214355469;451.9658508300781;451.9658508300781
241;452.7372131347656;452.7372131347656;452.2303161621094;452.2303161621094
242;453.8357849121094;453.8357849121094;452.3265686035156;452.3265686035156
243;453.384033203125;453.384033203125;452.07379150390625;452.07379150390625
244;452.3783264160156;452.3783264160156;452.0450439453125;452.0450439453125
245;453.9878234863281;453.9878234863281;452.0990905761719;452.0990905761719
246;452.6012878417969;452.6012878417969;452.14404296875;452.14404296875
247;454.15313720703125;454.15313720703125;451.44744873046875;451.44744873046875
248;453.9393310546875;453.9393310546875;452.6364440917969;452.6364440917969
249;454.3232727050781;454.3232727050781;452.4559631347656;452.4559631347656
