epoch;loss;mae;val_loss;val_mae
0;506.31463623046875;506.31463623046875;498.1966247558594;498.1966247558594
1;494.4007568359375;494.4007568359375;485.8909912109375;485.8909912109375
2;491.3788757324219;491.3788757324219;483.9606018066406;483.9606018066406
3;489.63458251953125;489.63458251953125;482.813720703125;482.813720703125
4;489.3581848144531;489.3581848144531;481.91253662109375;481.91253662109375
5;488.39794921875;488.39794921875;480.7771911621094;480.7771911621094
6;486.27020263671875;486.27020263671875;478.7537536621094;478.7537536621094
7;485.48291015625;485.48291015625;477.49481201171875;477.49481201171875
8;484.8563537597656;484.8563537597656;476.7285461425781;476.7285461425781
9;484.3065490722656;484.3065490722656;476.7396240234375;476.7396240234375
10;484.0157470703125;484.0157470703125;475.8836669921875;475.8836669921875
11;481.54351806640625;481.54351806640625;475.1520080566406;475.1520080566406
12;481.4384765625;481.4384765625;474.9736022949219;474.9736022949219
13;481.1997375488281;481.1997375488281;474.33074951171875;474.33074951171875
14;480.96075439453125;480.96075439453125;474.6274719238281;474.6274719238281
0;505.6315002441406;505.6315002441406;494.86456298828125;494.86456298828125
1;493.21795654296875;493.21795654296875;485.6462707519531;485.6462707519531
2;490.6557922363281;490.6557922363281;483.69580078125;483.69580078125
3;489.1715087890625;489.1715087890625;482.4686584472656;482.4686584472656
4;488.8388977050781;488.8388977050781;481.3282165527344;481.3282165527344
5;487.4820251464844;487.4820251464844;480.5779724121094;480.5779724121094
6;485.9340515136719;485.9340515136719;477.97998046875;477.97998046875
7;484.3510437011719;484.3510437011719;476.417236328125;476.417236328125
8;483.9414367675781;483.9414367675781;476.2112731933594;476.2112731933594
9;483.3374938964844;483.3374938964844;476.8560485839844;476.8560485839844
10;482.8802185058594;482.8802185058594;475.2643127441406;475.2643127441406
11;481.0729064941406;481.0729064941406;473.86492919921875;473.86492919921875
12;480.8363952636719;480.8363952636719;474.1179504394531;474.1179504394531
13;480.92205810546875;480.92205810546875;473.9851379394531;473.9851379394531
14;479.94769287109375;479.94769287109375;474.7881774902344;474.7881774902344
15;480.477294921875;480.477294921875;474.5163879394531;474.5163879394531
16;480.51123046875;480.51123046875;473.9993896484375;473.9993896484375
17;479.54803466796875;479.54803466796875;473.0190734863281;473.0190734863281
18;480.80206298828125;480.80206298828125;473.547607421875;473.547607421875
19;479.53680419921875;479.53680419921875;472.7380676269531;472.7380676269531
20;478.696533203125;478.696533203125;472.73486328125;472.73486328125
21;478.5668640136719;478.5668640136719;472.9642333984375;472.9642333984375
22;478.96087646484375;478.96087646484375;472.7245788574219;472.7245788574219
23;479.1825256347656;479.1825256347656;472.19622802734375;472.19622802734375
24;479.2416076660156;479.2416076660156;471.7994689941406;471.7994689941406
25;477.0291748046875;477.0291748046875;471.68963623046875;471.68963623046875
26;478.48638916015625;478.48638916015625;471.119873046875;471.119873046875
27;478.1695251464844;478.1695251464844;471.48309326171875;471.48309326171875
28;477.19183349609375;477.19183349609375;470.7232666015625;470.7232666015625
29;477.0550537109375;477.0550537109375;470.87255859375;470.87255859375
30;477.2316589355469;477.2316589355469;470.5346984863281;470.5346984863281
31;476.9979553222656;476.9979553222656;470.3858337402344;470.3858337402344
32;476.81964111328125;476.81964111328125;470.8056640625;470.8056640625
33;477.0372314453125;477.0372314453125;470.8056945800781;470.8056945800781
34;477.2247314453125;477.2247314453125;470.56683349609375;470.56683349609375
35;476.9598388671875;476.9598388671875;470.4193115234375;470.4193115234375
36;475.7107849121094;475.7107849121094;469.3437805175781;469.3437805175781
37;476.888427734375;476.888427734375;469.6296081542969;469.6296081542969
38;476.62213134765625;476.62213134765625;468.1080627441406;468.1080627441406
39;476.5002746582031;476.5002746582031;468.9307556152344;468.9307556152344
40;476.1009826660156;476.1009826660156;469.3259582519531;469.3259582519531
41;474.8283996582031;474.8283996582031;468.9135437011719;468.9135437011719
